name,family,status,previous_name,workflows,v1_or_v2,intervention_level,scope,card_kinds,granularity,split_reason,catastrophic,description,args
research-paragraph,research,proposed,,A;B,v1,,paragraph,,,,false,Walk the paragraph's anchored citations; check assertions vs cited sources.,"<docPath> <paragraphId>"
find-source,research,proposed,,A;B,v1,,claim,,,,false,Search library for papers supporting or contradicting a stated claim.,"<docPath> ""<claim>"""
extract-quote,research,proposed,,A;B,v1,,library-paper,,,,false,Pull quotable passages from a named library paper on a given topic.,"<docPath> <citekey> ""<topic>"""
summarize-source,research,proposed,,A;B,v1,,library-paper,Annotation,,,false,Surface library annotation for a cited source or generate one from the text.,"<docPath> <bibkey>"
check-citation-fit,research,proposed,,A;B,v1,,paragraph,,,,false,Per anchored citation: does the source support the claim it's anchored to?,"<docPath> <paragraphId>"
related-from-library,research,proposed,,A;B,v1,,paragraph,,,,false,Suggest related library papers not yet cited in the paragraph.,"<docPath> <paragraphId>"
triangulate,research,proposed,,A;B,v1,,claim,,,,false,"For a claim, find library papers that agree, disagree, or qualify.","<docPath> ""<claim>"""
preflight,prep,proposed,,B,v1,,external-file,,,,false,Non-destructive scan of an external .tex file. Reports constructs needing conversion.,<texPath>
prep-file,prep,proposed,,B,v1,,external-file,,,,true,"Umbrella: runs preflight + dispatches converters. Produces Virgil-compatible folder.","<texPath> [--target <newDocPath>] [--style <id>]"
convert-examples,prep,proposed,,B,v1,,document,,,,false,Convert gb4e/linguex/\enumsentence to expex. Shared with library di-examples.,"<docPath> [--from gb4e|linguex|enumsentence|auto]"
expand-macros,prep,proposed,,B,v1,,document,,,,false,Inline-expand unsafe \newcommand definitions; preserve safe ones.,<docPath>
migrate-preamble,prep,proposed,,B,v1,,document,,,,true,Move externally-authored preamble onto a Virgil style.,"<docPath> [--target-style <id>]"
migrate-bib,prep,proposed,,B,v1,,document,,,,true,Handle natbib ↔ biblatex / \bibliography{} ↔ \printbibliography / bibstyle swaps.,<docPath>
quarantine-tikz,prep,proposed,,B,v1,,document,,,,false,Move inline TikZ/pgfplots to external files via \input{}.,<docPath>
revise-dictation,revision,proposed,,A;B,v1,surface,paragraph,,split,,false,"Fix dictation errors, complete sentence boundaries, resolve homophones.","<docPath> <requestId>"
revise-typos,revision,proposed,,A;B,v1,surface,paragraph,,split,,false,Typos + punctuation + capitalization only.,"<docPath> <requestId>"
revise-incomplete,revision,proposed,,A;B,v1,surface,paragraph,,split,,false,Find unfinished sentences; complete or flag.,"<docPath> <requestId>"
revise-cut-hedges,revision,proposed,,A;B,v1,mid,paragraph,,split,Distinct preservation rule: epistemic-load hedges stay,false,"Remove 'perhaps,' 'arguably,' etc. unless doing real epistemic work.","<docPath> <requestId>"
revise-cut-throat-clearing,revision,proposed,,A;B,v1,mid,paragraph,,split,AI-tell signature; specific blacklist,false,"Strip 'Importantly,' 'In this paper I will argue,' etc.","<docPath> <requestId>"
revise-cut-redundancy,revision,proposed,,A;B,v1,mid,paragraph,,split,,false,Same point made twice → kept once.,"<docPath> <requestId>"
revise-compress,revision,proposed,,A;B,v1,mid,paragraph,,split,Measurable target (word count / %),false,Compress to target word count or %.,"<docPath> <requestId> --target=<count|%>"
revise-cut-filler,revision,proposed,,A;B,v1,mid,paragraph,,split,,false,Adverbs that don't earn it ('very'/'really'/'actually').,"<docPath> <requestId>"
revise-flow,revision,proposed,,A;B,v1,structural,section,,split,,false,Reorder sentences/paragraphs for argument flow. Sentence content unchanged.,"<docPath> <requestId>"
revise-paragraphs,revision,proposed,,A;B,v1,structural,section,,split,,false,Split overlong; merge fragmented. Sentence content unchanged.,"<docPath> <requestId>"
revise-transitions,revision,proposed,,A;B,v1,structural,section,,split,,false,Add/strengthen transitions only.,"<docPath> <requestId>"
revise-topic-sentences,revision,proposed,,A;B,v1,structural,paragraph,,split,,false,Extract or compose topic sentences.,"<docPath> <requestId>"
revise-make-explicit,revision,proposed,,A;B,v1,clarity,paragraph,,split,,false,"Flag and make explicit unstated premises, jumps, assumptions.","<docPath> <requestId>"
revise-clarify-claims,revision,proposed,,A;B,v1,clarity,paragraph,,split,,false,Find vague claims; tighten or flag for citation.,"<docPath> <requestId>"
revise-disambiguate,revision,proposed,,A;B,v1,clarity,paragraph,,split,,false,Find pronouns + references that risk reader confusion.,"<docPath> <requestId>"
revise-strengthen-weak-points,revision,proposed,,A;B,v1,clarity,section,,split,,false,Find load-bearing argument moves; surface where under-supported.,"<docPath> <requestId>"
revise-voice-match,revision,proposed,,A;B,v1,voice,paragraph,,split,,false,Match surrounding text's voice.,"<docPath> <requestId>"
revise-register,revision,proposed,,A;B,v1,voice,section,,split,,false,Formal ↔ conversational on user request.,"<docPath> <requestId>"
revise-de-AI,revision,proposed,,A;B,v1,voice,paragraph,,split,,false,Remove AI tells if external/Virgil AI content slipped in.,"<docPath> <requestId>"
revise-from-notes,revision,proposed,,A;B,v1,generative,paragraph,,split,,false,Notes → prose; more aggressive than revise-dictation.,"<docPath> <requestId>"
revise-expand,revision,proposed,,A;B,v1,generative,paragraph,,split,,false,Thin paragraph → full. User flags direction.,"<docPath> <requestId>"
revise-add-example,revision,proposed,,A;B,v1,generative,paragraph,,split,,false,Find abstract claims; propose concrete examples.,"<docPath> <requestId>"
revise-add-counter,revision,proposed,,A;B,v1,generative,paragraph,,split,,false,Propose a counter-consideration the argument should address.,"<docPath> <requestId>"
revise-free,revision,proposed,,A;B,v1,free,paragraph,,split,,false,"Any intervention as needed. First move: propose what it would do, ask for confirmation.","<docPath> <requestId>"
revise-to-thesis,revision,proposed,,A;B,v1,reduction,section,,split,,false,Extract a one-sentence thesis.,"<docPath> <requestId>"
revise-to-bullets,revision,proposed,,A;B,v1,reduction,section,,split,,false,Prose → bullets for outline/reorg.,"<docPath> <requestId>"
revise-to-summary,revision,proposed,,A;B,v1,reduction,document,,split,,false,Target word count summary.,"<docPath> <requestId>"
revise-compare,revision,proposed,,A;B,v1,meta,paragraph,,split,,false,Propose 2-3 alternative revisions side-by-side.,"<docPath> <requestId>"
revise-explain,revision,proposed,,A;B,v1,meta,card-specific,,split,,false,"For an existing revision, articulate why each change was made.","<docPath> <cardId>"
revise-with-feedback,revision,deferred-v2,,A;B,v2,meta,paragraph,,split,Requires user-dream consumer (deferred),false,User rejects with reason; feedback feeds user-dream rejection corpus.,"<docPath> <cardId>"
iterate-virgil-editor,dev-meta,existing-keep,,dev-only,v1,,skill-set,,,,false,Stress-test editor skill set in sandboxed sample paper.,"[<skill-name>] [<max-attempts>]"
dream,dev-meta,proposed,,dev-only,v1,,skill-set,,,,false,"Overnight autonomous pass. Reads DEV-mode memos; refactors/edits skills, scripts, manifest.",[--fast-path <memo-id>]
